,customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,order_id,payment,sales_id,product_id,price_per_unit,quantity_x,total_price,product_type,product_name,size,colour,price,quantity_y,description,order_date,delivery_date,delivery_time,order_year,order_month,order_day,delivery_year,delivery_month,delivery_day,order_day_name,order_month_name,delivery_day_name,delivery_month_name
0,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,24550,2245,211,106,3,318,Shirt,Chambray,S,red,105,72,"A red coloured, S sized, Chambray Shirt",2021-04-04,2021-04-06,2,2021,4,4,2021,4,6,Sunday,April,Tuesday,April
1,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,24550,2246,783,91,2,182,Jacket,Pullover,L,yellow,114,43,"A yellow coloured, L sized, Pullover Jacket",2021-04-04,2021-04-06,2,2021,4,4,2021,4,6,Sunday,April,Tuesday,April
2,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,3324,525,98,2,196,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket",2021-03-06,2021-04-01,26,2021,3,6,2021,4,1,Saturday,March,Thursday,April
3,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,3325,792,91,2,182,Jacket,Pullover,M,blue,114,44,"A blue coloured, M sized, Pullover Jacket",2021-03-06,2021-04-01,26,2021,3,6,2021,4,1,Saturday,March,Thursday,April
4,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,3326,179,98,1,98,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt",2021-03-06,2021-04-01,26,2021,3,6,2021,4,1,Saturday,March,Thursday,April
5,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,10246,3327,789,91,3,273,Jacket,Pullover,XL,green,114,65,"A green coloured, XL sized, Pullover Jacket",2021-03-06,2021-04-01,26,2021,3,6,2021,4,1,Saturday,March,Thursday,April
6,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,729,35593,3639,197,98,3,294,Shirt,Camp Collared,M,blue,112,65,"A blue coloured, M sized, Camp Collared Shirt",2021-02-18,2021-03-01,11,2021,2,18,2021,3,1,Thursday,February,Monday,March
7,1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,729,35593,3640,558,98,1,98,Jacket,Leather,L,violet,113,78,"A violet coloured, L sized, Leather Jacket",2021-02-18,2021-03-01,11,2021,2,18,2021,3,1,Thursday,February,Monday,March
8,7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2292,1118,115,3,345,Trousers,Cropped,L,violet,99,40,"A violet coloured, L sized, Cropped Trousers",2021-05-21,2021-05-23,2,2021,5,21,2021,5,23,Friday,May,Sunday,May
9,7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2293,1259,112,2,224,Trousers,Tracksuit Bottoms,XL,violet,91,60,"A violet coloured, XL sized, Tracksuit Bottoms Trousers",2021-05-21,2021-05-23,2,2021,5,21,2021,5,23,Friday,May,Sunday,May
10,7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2294,811,117,1,117,Jacket,Shearling,S,orange,95,53,"A orange coloured, S sized, Shearling Jacket",2021-05-21,2021-05-23,2,2021,5,21,2021,5,23,Friday,May,Sunday,May
11,7,Winslow Ewbanck,Bigender,76,92 Hills Station StApt. 683,793,Masonfurt,Queensland,Australia,465,48935,2295,408,119,1,119,Shirt,Casual Slim Fit,L,blue,113,75,"A blue coloured, L sized, Casual Slim Fit Shirt",2021-05-21,2021-05-23,2,2021,5,21,2021,5,23,Friday,May,Sunday,May
